
connection thread is runningrunning read while

asd
run MadgwickAHRSupdate thread for palm
MadgwickAHRS is started
-0.992649 -0.0533095 0.0705715 0.0630057 
0.992311 0.0552306 -0.0695783 -0.0678296 
-0.992359 -0.0562133 0.0689997 0.0668721 
0.992835 0.0533206 -0.0686455 -0.062048 
0.992485 0.054271 -0.0695905 -0.0659031 
-0.99231 -0.0533045 0.0728724 0.0658997 
-0.992719 -0.053315 0.0686375 0.0639798 
0.992281 0.0552393 -0.0709323 -0.0668667 
-0.992583 -0.0542878 0.0690152 0.0649483 
0.992532 0.0552533 -0.0690117 -0.064945 
0.992807 0.0523611 -0.0670917 -0.064963 
-0.992519 -0.0542833 0.06998 0.0649442 
-0.992497 -0.0533201 0.0719165 0.0639618 
0.992518 0.0523276 -0.0705626 -0.0659172 
0.992354 0.0542573 -0.07152 -0.0659062 
-0.992628 -0.0533231 0.0699875 0.0639702 
0.992434 0.0552327 -0.0695873 -0.0659116 
-0.992522 -0.0552559 0.0709493 0.062994 
0.992523 0.0542883 -0.0690107 -0.0659022 
-0.992528 -0.0552598 0.0699802 0.0639641 
0.992545 0.0542702 -0.0695951 -0.0649493 
0.992425 0.0542615 -0.0686176 -0.067849 
0.992534 0.0533001 -0.0695943 -0.065918 
-0.992369 -0.0552276 0.070552 0.065907 
-0.992628 -0.0533219 0.0699877 0.0639823 
0.992632 0.0533221 -0.0690186 -0.0649519 
0.992642 0.054292 -0.0690193 -0.0639832 
-0.992701 -0.0542941 0.0690234 0.0630175 
-0.992373 -0.0552348 0.0695827 0.0668646 
0.99223 0.0562074 -0.0709286 -0.0668635 
0.992605 0.0542766 -0.069599 -0.0639724 
-0.992549 -0.0542746 0.0686258 0.0659073 
0.992578 0.0542881 -0.0699842 -0.0639789 
0.992304 0.0552303 -0.071516 -0.0658911 
-0.992549 -0.0542735 0.0686258 0.0659073 
0.992595 0.0533078 -0.0695983 -0.0649411 
-0.992595 -0.0533066 0.0695983 0.064941 
-0.992481 -0.0542708 0.0705595 0.0649335 
0.99243 0.0552361 -0.0705559 -0.0649302 
-0.992669 -0.0542811 0.068634 0.0639764 
0.992732 0.0542834 -0.067669 -0.0639805 
0.99253 0.0533032 -0.070563 -0.0649368 
-0.992628 -0.0533203 0.0699877 0.0639821 
0.992458 0.0542804 -0.0699758 -0.0659095 
-0.992578 -0.054287 0.0699842 0.0639789 
-0.992535 -0.055255 0.0680426 0.0659146 
-0.992485 -0.0542701 0.0695906 0.0659031 
0.992373 0.0552342 -0.0695827 -0.0668648 
-0.992561 -0.0552442 0.0676573 0.065908 
0.992583 0.0542888 -0.0690152 -0.0649486 
-0.992768 -0.0523461 0.0686409 0.0639827 
0.992424 0.0542674 -0.0695863 -0.066868 
-0.992207 -0.0571624 0.0695711 0.0678224 
-0.992527 -0.055255 0.0699806 0.0639758 
0.992343 0.053294 -0.0715188 -0.0668627 
-0.992518 -0.0542852 0.06998 0.0649443 
-0.992595 -0.0533064 0.0695983 0.064941 
0.992818 0.0533297 -0.0670925 -0.0639944 
-0.992293 -0.0542592 0.0715152 0.0668594 
-0.992681 -0.0523541 0.0690221 0.064955 
-0.992458 -0.054281 0.0699757 0.0659097 
0.992809 0.0533306 -0.0690309 -0.0620548 
0.992346 0.0552451 -0.0699678 -0.0668713 
-0.992633 -0.0533212 0.0690187 0.0649519 
-0.99284 -0.0533204 0.0676764 0.0630178 
-0.99241 -0.0552487 0.0690032 0.0668756 
-0.992819 -0.0523445 0.0696145 0.062059 
0.992219 0.055244 -0.0709273 -0.0678198 
-0.992605 -0.054272 0.0695994 0.0639842 
0.992203 0.055243 -0.0738329 -0.0649118 
-0.992583 -0.0542951 0.0690147 0.0649366 
-0.992618 -0.0523583 0.0699864 0.0649388 
